"File","Initialization","class.NumberOfFunctions","class.AVGFanIn","class.AVGFanOut","classes.LCOM","methods.CRef"
"<framework init>","0","/","/","/","/","/"
"jars/joda-time-2.10.13.jar","56","0","9308","2","5","5"
"jars/jackson-core-2.13.1.jar","84","0","3457","2","15","6"
"jars/jpox-1.1.9-1.jar","181","0","40828","10","30","16"
"jars/gpars-1.2.1.jar","320","0","33073","5","11","12"
"jars/jnr-unixsocket-0.38.17.jar","13","0","39","0","0","0"
"jars/org.eclipse.persistence.jpa-3.1.0-M1.jar","323","0","35455","6","25","14"
"jars/mariadb-java-client-3.0.3.jar","67","0","5023","3","11","4"
"jars/jxl-2.6.12.jar","64","0","5822","3","7","5"
"jars/ostrich_2.12-9.27.0.jar","397","0","3728","9","5","12"
"jars/commons-email-1.5.jar","11","0","30","0","0","0"
"jars/jmustache-1.15.jar","10","0","29","0","0","0"
"jars/ant-1.6.5.jar","104","0","11919","5","10","8"
"jars/antlr4-4.9.3.jar","218","0","38636","16","10","14"
"jars/commons-crypto-1.1.0.jar","14","0","114","0","0","0"
"jars/httpclient-4.5.13.jar","130","0","4853","2","5","5"
"jars/squeryl_2.10-0.9.6-M2.jar","247","0","41590","3","14","11"
"jars/jersey-core-1.19.4.jar","74","0","1906","1","1","3"
"jars/truth-1.1.3.jar","38","0","549","1","0","1"
"jars/commons-compress-1.21.jar","104","0","11292","5","10","8"
"jars/h2-2.1.210.jar","591","0","80192","16","58","27"
"jars/log4j-1.2.12.jar","34","0","1366","1","2","2"
"jars/tomcat-embed-core-10.1.0-M10.jar","393","0","122995","16","51","26"
"jars/hsqldb-2.6.1.jar","762","0","62813","28","53","36"
"jars/postgresql-42.3.2.jar","114","0","9260","5","17","7"
"jars/thymeleaf-3.1.0.M1.jar","1706","1","10290","29","47","45"
"jars/maven-core-2.0.6.jar","15","0","104","0","0","0"
"jars/junit-3.8.1.jar","25","0","164","0","0","0"
"jars/javax.persistence-2.2.1.jar","107","0","584","0","1","1"
"jars/kotlin-stdlib-1.5.31.jar","319","0","43015","8","3","15"
"jars/itextpdf-5.5.13.2.jar","300","0","45499","15","32","18"
"jars/jsoup-1.14.3.jar","39","0","1810","1","3","2"
"jars/jgroups-5.2.0.Final.jar","567","0","93350","12","30","24"
